cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20170725,pr,_CMCC-CESM_piControl_r1i1p1_439001-439512.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20170725,pr,_CMCC-CESM_piControl_r1i1p1_439601-440112.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20170725,pr,_CMCC-CESM_piControl_r1i1p1_440201-440712.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20170725,pr,_CMCC-CESM_piControl_r1i1p1_440801-441312.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20170725,pr,_CMCC-CESM_piControl_r1i1p1_441401-441912.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20170725,pr,_CMCC-CESM_piControl_r1i1p1_442001-442512.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20170725,pr,_CMCC-CESM_piControl_r1i1p1_442601-443112.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20170725,pr,_CMCC-CESM_piControl_r1i1p1_443201-443712.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20170725,pr,_CMCC-CESM_piControl_r1i1p1_443801-444312.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20170725,pr,_CMCC-CESM_piControl_r1i1p1_444401-444912.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20170725,pr,_CMCC-CESM_piControl_r1i1p1_445001-445512.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20170725,pr,_CMCC-CESM_piControl_r1i1p1_445601-446112.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20170725,pr,_CMCC-CESM_piControl_r1i1p1_446201-446712.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20170725,pr,_CMCC-CESM_piControl_r1i1p1_446801-447312.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20170725,pr,_CMCC-CESM_piControl_r1i1p1_447401-447912.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20170725,pr,_CMCC-CESM_piControl_r1i1p1_448001-448512.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20170725,pr,_CMCC-CESM_piControl_r1i1p1_448601-449112.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20170725,pr,_CMCC-CESM_piControl_r1i1p1_449201-449712.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20170725,pr,_CMCC-CESM_piControl_r1i1p1_449801-450312.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20170725,pr,_CMCC-CESM_piControl_r1i1p1_450401-450912.nc
